participant,model,choice_only,start_index,objective,optimizer_success,valid,message,iterations,gradient_norm,projected_gradient_norm,near_boundary,log_k_R,log_k_L,log_beta,alpha,delta_L,log_b,log_sigma
2rrjzhgj9,choice_only,True,0,135.26074042722223,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,4.54747353650178e-05,4.54747353650178e-05,False,2.4461332911363693,-1.052105016299323,-1.012556107993372,,,,
2rrjzhgj9,choice_only,True,1,135.26074042676322,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,8.526512880940836e-06,8.526512880940836e-06,False,2.4461258207097165,-1.0520778727599134,-1.0125376256127503,,,,
2rrjzhgj9,choice_only,True,2,135.2607404267766,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,1.7053025761881673e-05,1.7053025761881673e-05,False,2.446124881373012,-1.0520827182803063,-1.0125413570014719,,,,
2rrjzhgj9,choice_only,True,3,135.26074042677752,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,8.526512880940836e-06,8.526512880940836e-06,False,2.4461256683547035,-1.052073711804682,-1.0125336942737095,,,,
2rrjzhgj9,choice_only,True,4,135.26074042676552,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,2.8421709603136124e-06,2.8421709603136124e-06,False,2.4461254254449885,-1.0520758369062055,-1.0125352964899534,,,,
2rrjzhgj9,choice_only,True,5,135.26074042676134,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,2.8421709603136124e-06,2.8421709603136124e-06,False,2.446124157910101,-1.0520764508213842,-1.0125357286092582,,,,
2rrjzhgj9,choice_only,True,6,135.2607404267565,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,2.8421709603136124e-06,2.8421709603136124e-06,False,2.4461226807313894,-1.0520801011786962,-1.0125380592691922,,,,
2rrjzhgj9,choice_only,True,7,135.2607404267693,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,8.526512880940836e-06,8.526512880940836e-06,False,2.4461196808269983,-1.0520822883959653,-1.0125392982872763,,,,
2rrjzhgj9,choice_only,True,8,135.2607404267669,True,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,0.0,0.0,False,2.4461212868341997,-1.0520842492717695,-1.0125404939664049,,,,
2rrjzhgj9,choice_only,True,9,135.26074042681887,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,2.557953864282251e-05,2.557953864282251e-05,False,2.446122472086585,-1.0520885365360269,-1.0125453122441008,,,,
2rrjzhgj9,choice_only,True,10,135.26074042676052,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,5.684341920627225e-06,5.684341920627225e-06,False,2.4461219775941667,-1.052082493627273,-1.0125392261691921,,,,
